English	Namhsan	Khun Hawt	Htan Hsan	Pangkham	Man Loi	Meng Dan	Chu Dong Gua	Xiang Zhai Tang	Pong Nuea	Nyaung Gone	Noe Lae	Ban Paw	Cha Ye Qing	Guang Ka	Mang Bang	Nan Sang
stone 	moː	moːw	moːw	maːw	maːw	mɛːw	maːw	maːw	maːw	maw	maw	maw	maːw	maːw	maːw	maːw
mountain	sur	sor	sur̥	ŋɔːt	ŋauɁ	sul 	kədiaŋ	nɔn	nɔːn	nɔn	nɔn	nɔn	noː	koŋ	nɔː	kɔŋ
tree	ɗɨŋ heː	ɗәŋ hej	ɗɨŋ hej	hej	daŋ heː	hi	hi	daŋhej	hej	he	he	he	hɔːj	taŋhɔːj	taŋhɔːj	taŋhɔj
root	riah	riah	riah hej	riah	riah hej	riah hiː	riahhi	riahhej	riah	riah	riah	riah	ɣəhhɔj	ʐəh hɔːj	ɣəh	rəhhɔj
leaf	l̥a:	l̥aː heːj	l̥aː	l̥aː	l̥ɛː	l̥ɛː hi	l̥aː hiː	l̥aː	l̥ɛa	l̥a	l̥a	l̥a	l̥aː	l̥aː hɔːj	l̥aː hɔːj	l̥aː
flower	ɓoh	ɓoh	ɓoh	boh	ɓoh	ɓoh	ɓoh	boh	bouh	bouh	bouh	bouh	box	poh	poh	poh
fruit	ɓleː	plej	ɓlej	bleː	blej	bliː	ɓliː	blej	blej	ble	ble	ble	ɓlɔːj	plɔːj	plɔːj	plɔːj
grass	kәrbaːn	kәrbaːn	brej	praj	praj	praj	ɓrai	pət	pət	pə̆t	pə̆t	pə̆t	bjai	bat	bət	bat
salty	ʨɛːm	saŋ 	sɔɁ saŋ	jɛːm	sɛɁ saŋ	saŋ	ʨeːm	sɛɁsɔŋ	sɔŋ	sɔk	sɔŋ	sɔŋ	ʨeːm	ʨɛːm	ʨeːm	sɔŋ
dog	ɁaɁoɁ	ɁaɁoɁ	ɁaɁoɁ	ɁaɁoɁ	ɁaɁoɁ	ʔaʔuʔ 	ʔaʔoʔ	sow	masow	maso	maso	maso	maʔoʔ	saw	saw	sow
