Language,hand,left,right,leg/foot,to walk,road/path,to come,to turn,to swim,dirty,dust,skin,back,belly,bone,intestines,liver,breast,shoulder,"to know, be knowledgeable",to think,to fear,blood,head,neck,hair,nose,to breathe,"to sniff, smell",mouth,tooth,tongue,to laugh,to cry,to vomit,to spit,to eat,to chew,to cook,to drink,to bite,to suck,ear,to hear,eye,to see,to yawn,to sleep,to lie down,to dream,to sit,to stand,person/human being,man/male,woman/female,child,husband,wife,mother,father,house,thatch/roof,name,to say,rope,"to tie up, fasten",to sew,needle,to hunt,to shoot,"to stab, pierce",to hit,to steal,to kill,"to die, be dead","to live, be alive",to scratch,"to cut, hack",stick/wood,to split,sharp,"dull, blunt",to work,to plant,to choose,to grow,to swell,to squeeze,to hold,to dig,to buy,"to open, uncover","to pound, beat",to throw,to fall,dog,bird,egg,feather,wing,to fly,rat,meat/flesh,fat/grease,tail,snake,worm (earthworm),louse,mosquito,spider,fish,rotten,branch,leaf,root,flower,fruit,grass,earth/soil,stone,sand,water,to flow,sea,salt,lake,woods/forest,sky,moon,star,cloud,fog,rain,thunder,lightning,wind,to blow,warm,cold,dry,wet,heavy,fire,to burn,smoke,ash,black,white,red,yellow,green,small,big,short,long,thin,thick,narrow,wide,"painful, sick","shy, ashamed",old,new,good,"bad, evil","correct, true",night,day,year,when?,to hide,to climb,at,"in, inside",above,below,this,that,near,far,where?,I,thou,he/she,we,you,they,what?,who?,other,all,and,if,how?,"no, not",to count,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Twenty,Fifty,One Hundred,One Thousand
Balinese,lima,kebot,tengawan,batis,majalan,rurung,təku,belok,nglangi,daki,buk,kulit,tundun,basang,tulang,babetukan,ati,nyonyo,pala,tawang,mekeneh,takut,getih,tendas,baong,bok,cunguh,mangkihan,ngadek,bungut,gigi,layah,kedek,ngeling,ngutah,mapees,daar,makpak,nyakan,nginem,nyegut,ngisep,kuping,ningeh,mata,ningalin,uab-uab,puləs,ngebah,ngipi,negak,majujuk,anak,muani,luh,panak,kurenan,kurenan,meme,bapa,umah,raab,adan,ngomong,tali,negul,nyait,jaum,maboros,medil,nebek,nyagur,maling,ngamatiang,mati,idup,ngasgas,nugel,kayu,nyibak,mangan,puntul,magae,nanem,milih,tumbuh,mesoh,meseng,ngisi,mlumbang,meli,ngehgah,nebuk,nylabatang,ulung,cicing,kedis,taluh,bulu,kampid,makeber,bikul,isi,muluk,ikut,lelipi,cacing,kutu,legu,kekawa,be,bengu,carang,don,akah,bunga,woh-wohan,padang,tanah,batu,bias,yeh,membah,pasih,uyah,danu,alas,langit,bulan,bintang,gulem,limut,ujan,kerug,tatit,angin,nyirsir,panes,dingin,tuh,beseg,baat,api,morbor,andus,aon,badeng,putih,barak,kuning,gadang,cenik,gede,bawak,dawa,tipis,tebal,cupek,linggah,sakit,kimud,tua,mara,melah,beler,beneh,peteng,dina,tiban,pidan,mengkeb,menek,di,di tengah,baduur,beten,ene,ento,paek,joh,dija,icang,cai,ia,iraga,cai ajak mekejang,in ajaka makojang,apa,nyen,len,makejang,muah,yen,kenken,tusing,ngetek,sa,dadua,telu,patpat,limə,ənəm,pitu,kutus,siə,dəsə,duaŋdasə,sèkət,satus,siu
Banggai (W.dialect),lima,bobo,bakaliŋa,ai,ampakon,loloon,lubat,,kayok,girit,,kulit,toŋkuluŋ,tia,buku,,ate,susu,beŋe,suuŋ,pikir,ma-takut,sau,ulu,buŋkut,buuk,,asaaŋ,onoki,baba,ŋoliŋ,alep,kumbit,kokiil,tolue,,kaan,,saaŋ,inum,kakat,sosop,taliŋa|i,loŋol,mata,kita,,moolo,goloŋ,ulumon,duduk,kokondoŋ,baŋgapi,malane,boʔine,pau,laŋkay,boloki,tina,tama,bonua,louŋ,sambu,bantil,alos,boboi,kaut,pakaut,maŋ-asu,mam-panapi,suduk,umbas,bonikuk,tembel,mate,tubo,,tabas,kau,bata,mamaŋan,,balimaŋ,man-sasak-on,ilei,tuboy,baŋkak,piis,kaŋgi,gali,moŋ-oli,aŋat,tuda,suuŋ,tuoŋ,asu,manu-manuk,galau,bulu,papil,leal,bukoti,antok,lanak,puus,bindana,uloy,kutu|k,,loa,susum,manas,paŋa,loon,[ɬ]akat,buŋa,sao,,tano,batu,bone,paisu,tuul,dalaŋon,timuson,,,timbu,bituon,bituon pauna,bunoŋ,,udan,guruk,kilap,bombuul,puul,onas,demel,tiis,bunus,barat,[po]bilat,kupul,tibolun,,pook,ute,[me]mela,soni,lampal,didik,babasal,pololoba,,nipi,bondoloŋ,boot,belay,ma-sakit,mamaa,,soodo,dondok,lokis,tuu,,oloyo,taum,no|ian,sapit,liba,doi,doi laloŋ,,,nia,noko,lolani,doon,doiaa,iaku,ikoo,iana,ikita,ikomuyu,ianila,oila,ilee,meeŋ,saibi,,sio,bulaa,aki,,meeŋ,lua,tolu,saŋkap,lima,noom,pitu,alu,sio,soŋulo,lua korono,,sakat,
Banggi,fī,kuikiwaŋ,kikuan,uei,ĕmpāno,,miātaŋ,,lěmuŋi,damak,auu,kubal,,tiagn,tulagn,,ati,dudu,owu,fandi,mihir,molok,rāh,ulu,tigoru,obuk,iduŋ,intaŋ,ĕŋgadak,bobok,kuhud,dila,,tĕmeis,,ilab,mohodn,,ěŋgafi,ĕŋinum,nohol,nunsup,,kidoŋor,māta,,,modop,sĕmarik,ĕŋgĕnifi,mufuŋ,,lāma,lahi,liwun,anak,sāna,sāh,,ama,bāli,safu,ĕŋārdn,moro,tali,nigad,,jarum,,nimbak,musuk,numbuk,nahu,,māti,biag,nuhud,kĕtofo,kiau,mĕlak,ĕntaram,,,nanam,mili,,,,,,moli,tiŋgiwa,,,ĕndabu,āsu,bohed,,bubul,koh,lampad,sihud,onsi,lāna,ifus,ulagn,liŋguaŋ,,tonok,,sadak,mutaŋ,saŋa,doudn,fahat,budak,buak,rihut,tānah,batu,,beig,,loud,timus,,gobak,laŋit,buaitn,bitūdn,awan,,dolok,,,dodos,,ĕmfanas,rāmig,eŋkorign,ĕmbasah,mogat,afi,nutugn,goudn,awu,modom,ĕmputih,ĕnsĕgak,kuid,,toyok,midia,puhu,mĕlaŋgu,,ĕŋkafal,,melimbag,sahit,mĕlou,ĕntua,bāru,ĕmpia,ĕndod,bār,raobi,odu,toudn,,,sĕmblahi,ki,kisoid,kilibuat,kisiduŋ,ĕntī,ino,miŋat,moduk,mĕnihan,ou,uhu,kui,sĕsia,,,onuh,asi,leidn,,mak,,fuŋgama,ĕndak,niap,isa,dua,taolu,afad,,,,,,,,,,
Banoni,numa-,tororona,matoo-,rapinna,vanavido,sanana,-ma,beruu,suu,dotsi,ramuta,kabunu-,tsughi-,kobi-,sipana-,kore-,date-,su-,dzaneko-,kuki,varekana,vere,ŋatsi,tope-,kokoromo-,punu-,vivitsi-,vasa,ghau,maŋo-,nuki-,mea-,vagiri,tanisi,toruu,kamisu,tam,,keekaru,kuu,kanata,mutsi,taŋina-,noŋono,mata-,reghe,moghava,tsereghe,,tatara,gonna,tsighom,na-,tamata,moono,natsu,tamata,moono,tsina-,tama-,numa,teghunu,vasaŋa-,dara,kurum,patsuna,keekabe,piin,vakavino,kum,tsu,tsunu,dzaŋa,tsuna,mate,sabiri,ghe|ghano,kabaka,tsupi,putake,gheeghame,dzudazumo,vaka,reba,,,paŋu[ru],togonopisu,ragomo,tsugea,bunava,ghasi,tsuu,vigi,butsu,bekeu,manughu,panusu,puata-,buburu-,burunu,kiso,koganna,mariŋi,kokoreka,koru,koropita,ghutsu,merikono,kaadado,bosi,raapa,nakona,nana,bagarana,baabaana,,gogorini,gomono,paratsi,pitsi[ma],koromo,sanini,tagisi,tsigo,gosoro,bubuna,barekopi,madava,pipito,kekao,kabu,gharau,pina,kanava,puughuu,puughuu,visisiki,togo,vikomakareva,sabu,papataŋa,dzai,[va]bu,daso,pona,naŋiri,kekao,bubu,kakarasa,bubune,kikinaki,baŋana,kukubuna[ki],gaarusu,to totogo,tootogo,kubunna,tataabana,[pe] pau,,tatsuam,ghoom,daame,sara,magoto,boŋi,korisa,namare,noisa,vape,,,mo,,kopona,ie,nana,,mo gharusuna,[na] vai,na,no,nna,ghata,gham,nari,sua,see,,kota,,,vaia vasi,ghinava,see,kadaken,toom,dapisa,to|atsi,ghinima,bena,bena toom,bena kapisa,visa,manogha,,,rausu,kokoreo
Bantik,lima,kuihi,kuaneŋ,tiloʔ,lampáŋ,daleŋ,mahi,sea,moyou,suledo,síbukuʔ,pisi,líkuduʔ,tiaŋ,duhi,tináy,atey,susu,bambáŋ,tiho,mamikihi,[ma]takuʔ,daha,timbonaŋ,eheʔ,utaʔ,iduŋ,sindaʔ,baw,mohoŋ,isi,dila,legéy,kaháʔ,suka,udú,kaŋ,sapá,hiŋaʔ,inuŋ,kiki,sendoʔ,tiŋkahia,díŋihiʔ,mata,seley,kótabaʔ,tiki,Lrumoka,onow,hompoŋ,teŋedeʔ,toumata,mahuaney,babinei,anaʔ,[i]aŋkuŋ,[i]aŋkuŋ,[i]maʔ,[i]amaʔ,balrei,atuʔ,adeŋ,uli,tali,ikiʔ,dahuŋ,dadahuŋ,anuʔ,lutaŋ,sódokoʔ,mahumpaga,tékosoʔ,buno,natey,ma'nulrai,kukuduʔ,kotohoʔ,kayu,baká,hodow,tiŋkopeʔ,pambele,suaŋ,pile,mapahosou,babaha,pahá,beleŋ,kali,luaŋ,bika,manutu,páhadaʔ,nabo,kapuna,manuʔ,natúʔ,bumbulu,kalipíʔ,taláʔ,tíkusuʔ,léosoʔ,lroŋo,papantey,uleʔ,loloati,kutu,tiníʔ,kahimboboʔ,kínasaʔ,bahiʔ,paŋat,dauŋ,hamuʔ,buŋa|ŋ,bua,dukuʔ,tana,batu,labaney,ake,míhihiʔ,tasiʔ,asiŋ,lóuhuʔ,kakayuaŋ,laŋiʔ,bulaŋ,malampitey,binaba,hibuʔ,tahiti,dulúʔ,kilaʔ,pípihiʔ,saŋó,ihaʔ,d|al|indíŋ,mada,labu,baháʔ,putuŋ,tutuŋ,tipu,ahi,ituŋ,bida,hendeŋ,dídihiʔ,bidu nu Lrangi,kokónioʔ,bagay,pédekeʔ,naiʔ,nípisiʔ,kapala,seséʔ,lampadaʔ,mapidisisi,maidang,gudaŋ,buhú,pia,dalaiʔ,taŋadaʔ,hibí,low,taoŋ,kaŋ|edeŋ,buni,abiʔ,su,su huaŋ,su timbow,su aluŋ,ie,eʔe,lapáʔ,daw,sunte,iaʔ,ikaw,[i]sie,kite,kumú,side,apa,[i]say,baline,maya,bo,ada,kakuda,taya,tiaʔ,insauʔ,dadua,tatulu,paʔ,(lr)ima,nung,pitu,wa(lr)u,siouw,mapulro,Dua mpulro,Lrima mpulro,mahatusu,ma'hibu
Gayo,pumu,kiri,kuwən,kidiŋ,muralan,də nè,déh,kisər,munawé,kɔték,wu,kulit,kuduk,tukə,tulən,tətukə,até,susu,kərlaŋ,bətih,bəpikir,tərih,rayɔh,ulu,rɔŋɔk,uk,iuŋ,bəkəsah,munyum,awah,ipɔn,délah,kədik,mɔŋɔt,pəlɔah,munilih,maŋan,muŋənal,mujəraŋ,minum,muŋét,munyiluk,kəmiriŋ,muməŋé,mata,munéŋɔn,map,nomé,malaŋ,munipi,kunul,səsuk,jəma,rawan,banan,anak,bəi,banan,inə,ama,umah,supu,gəral,muliŋ,tali,munikɔt,mujit,jarum,muŋaro,munimak,munənik,mudərə,munusuh,mununuh,matɪ,murip,mugarut,muŋərat,kayu,mubəlah,təjəm,tumpul,bəbuət,munyuən,mumilih,murip,mubəŋkak,mumərah,munamat,muŋuruk,mubəli,munukə,munutu,mugəraluŋən,mutuh,asu,manuk,tènaruh,jaŋut,kəpék,terbaŋ,tikus,usi,ləmak,uki,lipé,kétɔl,kutu,ləmis,lɔlawah,ikən,buruk,cabaŋ,uluŋ,uyɔt,buŋə,uah-uahən,kərpé,tanɔh,atu,pasir,wəih,mujaril,lut kɔlak,pɔa,lut kucak,utən,laŋit,ulən,bintaŋ,mun,kədut,urən,gəgur,kilət,kuyu,bərəmus,pɔrak,bəŋi,kəriŋ,basah,bərat,rara,munyiut,asap,wau,itəm,putih,ilaŋ,kuniŋ,ijo,kucak,kul,kɔnɔt,naru,nipis,təbəl,pédét,kɔlak,sakit,kəmél,tuə,ayu,jərɔh,jahat,bənar,klam,lo,tun,səlɔ,təmuni,nik,i,[i] wan,i atas,i tuyuh,ini,ɔya,dəkat,gip,i si,aku,kɔ,wé,kitə,kam béwénné,pakéa,sana,sa,lén,bén,urum,i|kə,kunə,gərə,munétɔŋ,sara,rɔa,tulu,ɔpat,lime,,,,,,,,,
Gedaged,nimán,ŋas,waŋ,nien,la,dal,so,bozozoaní,log,ganáin,gufugáf,siliŋoń,mesapén,kazói,dog,taen,bubén,su:,yazón,loŋ,kánkan,fúfu,dazán,gatén,biziwón,zaun,win,yaeŋ,,áwan,liwon,balén,di,ta,lu,yasú,[y]aní,mam,nai,milí,yaz|é,musí,tiliŋan,loŋ,malan,nasí,,doz,[y]en,,matál,tiúz,tamol,tamol,pain,aí,iwón,badám,nen,mam,ab,pit,néan,bol,mol,pau,zikí,siwalí,bezaní,pan|é,belái,tebalí,,[su]fun|í,mat,bas,kekaz|é,guguzí,ya,falé,malán,bok,uzát,pae,pilianí,tub,didí,bule,butuní,saze,poalí,fué,funí,,bal,gaun,ma,ma patún,fufulún,banín,zou,gabeláu,mudán,numuzán,win,mot,gugui,ut,na,kuk,iy[e],mau,dagént,zun,dabín,moz,patún,,tan,pat,abúz,naz,yau,mas,sif,wililuk,gazáŋ,did,fuléi,patui,tim|taen,bug,ui,wail,leléi,tim,fazé,wonanán,madíd,dadág,sipín,muzuán,ya,tun|i,yá|kas,taen,[mu]mum,kebazán,dazán,yaŋ,bas,kamó,mutén,titúk,meláen,zezáun,metalún,sigisóg,bebaŋán,yáŋayàŋ,mamái,tibún,faun,gauái,alán,malík,bo,ad,umáz,saŋéptap,kukúm,dusá,-lak,ilo-n,fon,paen,e,me,sisíz,makáiu,dómten,ŋa,o,i,id,aŋ,i,abáŋ,ítai,ibén,daŋán,ma|i,,dodín,so,sutí,tai,a|zú,tol,pal,,,,,,,,,,
Geser,ma,kubalit,kuanen,ke,taŋgi,lalano,ratan,futar,naŋu,galotak,ubas,likit,kotan,toa,ruri,utuk,at,susu,wakir,ruk,hiʔir,matakut,rara,lu,totolan,uk,so,fai ŋak,fimusi,lo,ŋisik,kel,malif,taŋis,luak,ginisuk,ŋga faŋa,mama,masak,inu,karat,bus,tiliŋa,roŋan,mata,mekan,maflaba,kifit,bula-bula,manifi,matoran,mariri,mančia,urana,wawina,anak,rana,wawina,n|ina,baba,ruma,barém,ŋasan,kuk,tali,wokas,fi|rait,lalan,leus,fanak,tewat,sakur,fakaleus,tara,mata,liu,fikori,lait,kai,tola,matarih,baba,,tauk,filik,,bulu,siŋgatan,dahan,kayk,fas,salik,tutu,fola,ŋgek,kafuna,manuk,tolu,wilíu,wakị,tiu,kalufa,sisia,wodal,kaku,tekis,ena kutu,kutu,umis,gafas,ikan,ŋgofak,saŋ,ru,akar,fus,woi,imak,ena,watu,ena,ar,tauk,tasik,,louk,imak,laŋit,ulan,fituin,aŋin tái,sawan,uran,dudun,tinitik,aŋin,utun,mfanas,rifi,kiri|mas,kiribotan,maleman,afi,tumu,kubuŋ,au tái,metan,futi,mera,kuniŋ,biri,tutuin,bobak,kubut,malás,banifis,batolu,korok,ga|lawa,masinat,,matu:,wouwou,babán,garata,katotu,garan,dodan,ŋarak,doan fis,wunin,saka,bua,bua lomin,ata,wawa,ira,ira,ranik,rau,na-iŋgí,aku,kau,na,kita,kumu,sidi,la,sei,wown,ababis,tura,,manlá,tei,reʔen,sa,roti,tolu,fat,,,,,,,,,,
Ghari,lima-,mauli,mandoa,tua-,vano,sautu,mai,pilo,olo,mbau,papasa,kokora-,ɣotu-,tomba-,suli-,tinae-,ate-,cucu-,,ndona,papanda,mataɣu,ɣambu-,lova-,lio-,vuvulu-na,isu-,maɣomaɣo,siɣinia,maŋa-,livo-,lapi-,kia,ŋaŋai,mumuta,čuve,ɣania,,,inu,ɣati,mučua,kuli-,roroŋo,mata-,morosia,,maturu,eno,,totu,tū,tinoni,mane,ndaki,mbaka,,,tina-,tama-,vale,tiatia,soa,čaria,itai,soria,čukia,,ruɣu,,ŋgoulā,lambua,komi,lambua,mate,mamauri,ŋgaruŋgaru,kavia,ɣai,talā,vavaŋa,paru,aŋgo,,,,čomo,lusia,taŋolia,čaia,,,,,puka,pai,manu,tolu-,ivu-,rapo-,lovo,mboɣu,velesi-,sereɣa-,kali-,muata,,ŋutu,nāmu,tea,čeče,mambulu,ara-,rau,lamu-,čiči,vua-,mburumburu,kao,vatu,one,,tatave,tasi,,,laɣai,masaoka,vula,vetuɣu,parako,lavo,usa,vivisa,aŋaaŋa,ɣuɣuri,pua,papara,mbisi,mamača,pori,mamava,lake,puča,puŋu,tora,mbau,sere,čiči,mila,marao,tetelo,loki,kurikuri,kači,matipi,matolu,,,lomboɣu,,tuŋgatuŋga,vaolu,ndou,seko,ɣoto,mboŋi,ndani,ŋalitupa,ŋisa,,ndato,i,lao-na,,vava-na,iani,,varaŋi,ao,iava,nau,ɣoe,[a]ia,iɣita,iɣamu,iɣira,na ɣua,asei,,,mana,ti,e ɣua,taɣara,čoko,k|esa,ruka,tolu,vati,čeɣe,ono,vitu,alu,siu,saŋavulu,,,kesa saŋatu,kesa toɣa
Gimán,komu,abalit,awoyan,we,han,lolan,wom,waik,koai,lila,yipyáp,kulit,bayau,tutu,moma,gale-gale,yocu,susu,paposu,unak,bafikir,kiwak,git,poi,koku,kiklé,usnu,manou,fotan,sumu,afó,mimou,mlif,tangis,awá,badidíf,fon,cakum,go,imin,pakat,pis,tinge,longa,mto,am,nganga,melas,mtuli,bibúf,bol,wosal,manusia,maón,mapín,tu,lagai,kawán,mamu,bapa,um,yotaf,fsona,bing,kapiloan,soat,badidíng,laim,hangkik yo,tablu,tapa,bolam,masulak,pun,mot,fifia,agág,tipal,tokun,sagal,magamin,kapudung,hamanitap,tonam,,tub,poán,ofal,gotal,ólai,tua,ayolu,tut,abilat,mtat,yo,manik,toli,longku-longku,faku,opa,luf,wontu,gaji,walu,bau,galét,kut,ninik,karanganga,ian,lekat,kakolu,longku,wolu,sai,bobu,bibisá,gigyát,lai,minyana,waya,gasi,wolat,gasi,talaga,dom,langit,pait,batól,malukut,mayas,ulan,plakat,bebit,moda,ufu,psan,makufin,gamós,baloám,batona,lutan,slai,nyas,tapin,kidkuda,bulang,malaka,madimal,biru,wai,loál,gapópai,mlonga,manifis,kamudi,nakota,loas,bitan,moi,tua,pou,fia,lekat,hatú,bakomu,balantu,taun,hafisak,bakapók,sapák,li,li,payau,poli,tajini,tajia,dekin,lou,paló,yak,au,i,kit,meu,si,puí,mei,maleu,hadumik,de,coba,hapuí,tes,hayofan,pso,plu,ptol,pfot,,,,,,,,,,
