Language,hand,left,right,leg/foot,to walk,road/path,to come,to turn,to swim,dirty,dust,skin,back,belly,bone,intestines,liver,breast,shoulder,"to know, be knowledgeable",to think,to fear,blood,head,neck,hair,nose,to breathe,"to sniff, smell",mouth,tooth,tongue,to laugh,to cry,to vomit,to spit,to eat,to chew,to cook,to drink,to bite,to suck,ear,to hear,eye,to see,to yawn,to sleep,to lie down,to dream,to sit,to stand,person/human being,man/male,woman/female,child,husband,wife,mother,father,house,thatch/roof,name,to say,rope,"to tie up, fasten",to sew,needle,to hunt,to shoot,"to stab, pierce",to hit,to steal,to kill,"to die, be dead","to live, be alive",to scratch,"to cut, hack",stick/wood,to split,sharp,"dull, blunt",to work,to plant,to choose,to grow,to swell,to squeeze,to hold,to dig,to buy,"to open, uncover","to pound, beat",to throw,to fall,dog,bird,egg,feather,wing,to fly,rat,meat/flesh,fat/grease,tail,snake,worm (earthworm),louse,mosquito,spider,fish,rotten,branch,leaf,root,flower,fruit,grass,earth/soil,stone,sand,water,to flow,sea,salt,lake,woods/forest,sky,moon,star,cloud,fog,rain,thunder,lightning,wind,to blow,warm,cold,dry,wet,heavy,fire,to burn,smoke,ash,black,white,red,yellow,green,small,big,short,long,thin,thick,narrow,wide,"painful, sick","shy, ashamed",old,new,good,"bad, evil","correct, true",night,day,year,when?,to hide,to climb,at,"in, inside",above,below,this,that,near,far,where?,I,thou,he/she,we,you,they,what?,who?,other,all,and,if,how?,"no, not",to count,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Twenty,Fifty,One Hundred,One Thousand
Balinese,lima,kebot,tenɡawan,batis,majalan,rurunɡ,təku,belok,nɡlanɡi,daki,buk,kulit,tundun,basanɡ,tulanɡ,babetukan,ati,nyonyo,pala,tawanɡ,mekeneh,takut,ɡetih,tendas,baonɡ,bok,cunɡuh,manɡkihan,nɡadek,bunɡut,ɡiɡi,layah,kedek,nɡelinɡ,nɡutah,mapees,daar,makpak,nyakan,nɡinem,nyeɡut,nɡisep,kupinɡ,ninɡeh,mata,ninɡalin,uab-uab,puləs,nɡebah,nɡipi,neɡak,majujuk,anak,muani,luh,panak,kurenan,kurenan,meme,bapa,umah,raab,adan,nɡomonɡ,tali,neɡul,nyait,jaum,maboros,medil,nebek,nyaɡur,malinɡ,nɡamatianɡ,mati,idup,nɡasɡas,nuɡel,kayu,nyibak,manɡan,puntul,maɡae,nanem,milih,tumbuh,mesoh,mesenɡ,nɡisi,mlumbanɡ,meli,nɡehɡah,nebuk,nylabatanɡ,ulunɡ,cicinɡ,kedis,taluh,bulu,kampid,makeber,bikul,isi,muluk,ikut,lelipi,cacinɡ,kutu,leɡu,kekawa,be,benɡu,caranɡ,don,akah,bunɡa,woh-wohan,padanɡ,tanah,batu,bias,yeh,membah,pasih,uyah,danu,alas,lanɡit,bulan,bintanɡ,ɡulem,limut,ujan,keruɡ,tatit,anɡin,nyirsir,panes,dinɡin,tuh,beseɡ,baat,api,morbor,andus,aon,badenɡ,putih,barak,kuninɡ,ɡadanɡ,cenik,ɡede,bawak,dawa,tipis,tebal,cupek,linɡɡah,sakit,kimud,tua,mara,melah,beler,beneh,petenɡ,dina,tiban,pidan,menɡkeb,menek,di,di tenɡah,baduur,beten,ene,ento,paek,joh,dija,icanɡ,cai,ia,iraɡa,cai ajak mekejanɡ,in ajaka makojanɡ,apa,nyen,len,makejanɡ,muah,yen,kenken,tusinɡ,nɡetek,sa,dadua,telu,patpat,limə,ənəm,pitu,kutus,siə,dəsə,duaŋdasə,sekət,satus,siu
Banggai (W.dialect),lima,bobo,bakaliŋa,ai,ampakon,loloon,lubat,,kayok,ɡirit,,kulit,toŋkuluŋ,tia,buku,,ate,susu,beŋe,suuŋ,pikir,ma-takut,sau,ulu,buŋkut,buuk,,asaaŋ,onoki,baba,ŋoliŋ,alep,kumbit,kokiil,tolue,,kaan,,saaŋ,inum,kakat,sosop,taliŋa|i,loŋol,mata,kita,,moolo,ɡoloŋ,ulumon,duduk,kokondoŋ,baŋɡapi,malane,boʔine,pau,laŋkay,boloki,tina,tama,bonua,louŋ,sambu,bantil,alos,boboi,kaut,pakaut,maŋ-asu,mam-panapi,suduk,umbas,bonikuk,tembel,mate,tubo,,tabas,kau,bata,mamaŋan,,balimaŋ,man-sasak-on,ilei,tuboy,baŋkak,piis,kaŋɡi,ɡali,moŋ-oli,aŋat,tuda,suuŋ,tuoŋ,asu,manu-manuk,ɡalau,bulu,papil,leal,bukoti,antok,lanak,puus,bindana,uloy,kutu|k,,loa,susum,manas,paŋa,loon,[ɬ]akat,buŋa,sao,,tano,batu,bone,paisu,tuul,dalaŋon,timuson,,,timbu,bituon,bituon pauna,bunoŋ,,udan,ɡuruk,kilap,bombuul,puul,onas,demel,tiis,bunus,barat,[po]bilat,kupul,tibolun,,pook,ute,[me]mela,soni,lampal,didik,babasal,pololoba,,nipi,bondoloŋ,boot,belay,ma-sakit,mamaa,,soodo,dondok,lokis,tuu,,oloyo,taum,no|ian,sapit,liba,doi,doi laloŋ,,,nia,noko,lolani,doon,doiaa,iaku,ikoo,iana,ikita,ikomuyu,ianila,oila,ilee,meeŋ,saibi,,sio,bulaa,aki,,meeŋ,lua,tolu,saŋkap,lima,noom,pitu,alu,sio,soŋulo,lua korono,,sakat,
Banggi,fi,kuikiwaŋ,kikuan,uei,empano,,miataŋ,,lemuŋi,damak,auu,kubal,,tiaɡn,tulaɡn,,ati,dudu,owu,fandi,mihir,molok,rah,ulu,tiɡoru,obuk,iduŋ,intaŋ,eŋɡadak,bobok,kuhud,dila,,temeis,,ilab,mohodn,,eŋɡafi,eŋinum,nohol,nunsup,,kidoŋor,mata,,,modop,semarik,eŋɡenifi,mufuŋ,,lama,lahi,liwun,anak,sana,sah,,ama,bali,safu,eŋardn,moro,tali,niɡad,,jarum,,nimbak,musuk,numbuk,nahu,,mati,biaɡ,nuhud,ketofo,kiau,melak,entaram,,,nanam,mili,,,,,,moli,tiŋɡiwa,,,endabu,asu,bohed,,bubul,koh,lampad,sihud,onsi,lana,ifus,ulaɡn,liŋɡuaŋ,,tonok,,sadak,mutaŋ,saŋa,doudn,fahat,budak,buak,rihut,tanah,batu,,beiɡ,,loud,timus,,ɡobak,laŋit,buaitn,bitudn,awan,,dolok,,,dodos,,emfanas,ramiɡ,eŋkoriɡn,embasah,moɡat,afi,nutuɡn,ɡoudn,awu,modom,emputih,enseɡak,kuid,,toyok,midia,puhu,melaŋɡu,,eŋkafal,,melimbaɡ,sahit,melou,entua,baru,empia,endod,bar,raobi,odu,toudn,,,semblahi,ki,kisoid,kilibuat,kisiduŋ,enti,ino,miŋat,moduk,menihan,ou,uhu,kui,sesia,,,onuh,asi,leidn,,mak,,fuŋɡama,endak,niap,isa,dua,taolu,afad,,,,,,,,,,
Banoni,numa-,tororona,matoo-,rapinna,vanavido,sanana,-ma,beruu,suu,dotsi,ramuta,kabunu-,tsuɡhi-,kobi-,sipana-,kore-,date-,su-,dzaneko-,kuki,varekana,vere,ŋatsi,tope-,kokoromo-,punu-,vivitsi-,vasa,ɡhau,maŋo-,nuki-,mea-,vaɡiri,tanisi,toruu,kamisu,tam,,keekaru,kuu,kanata,mutsi,taŋina-,noŋono,mata-,reɡhe,moɡhava,tsereɡhe,,tatara,ɡonna,tsiɡhom,na-,tamata,moono,natsu,tamata,moono,tsina-,tama-,numa,teɡhunu,vasaŋa-,dara,kurum,patsuna,keekabe,piin,vakavino,kum,tsu,tsunu,dzaŋa,tsuna,mate,sabiri,ɡhe|ɡhano,kabaka,tsupi,putake,ɡheeɡhame,dzudazumo,vaka,reba,,,paŋu[ru],toɡonopisu,raɡomo,tsuɡea,bunava,ɡhasi,tsuu,viɡi,butsu,bekeu,manuɡhu,panusu,puata-,buburu-,burunu,kiso,koɡanna,mariŋi,kokoreka,koru,koropita,ɡhutsu,merikono,kaadado,bosi,raapa,nakona,nana,baɡarana,baabaana,,ɡoɡorini,ɡomono,paratsi,pitsi[ma],koromo,sanini,taɡisi,tsiɡo,ɡosoro,bubuna,barekopi,madava,pipito,kekao,kabu,ɡharau,pina,kanava,puuɡhuu,puuɡhuu,visisiki,toɡo,vikomakareva,sabu,papataŋa,dzai,[va]bu,daso,pona,naŋiri,kekao,bubu,kakarasa,bubune,kikinaki,baŋana,kukubuna[ki],ɡaarusu,to totoɡo,tootoɡo,kubunna,tataabana,[pe] pau,,tatsuam,ɡhoom,daame,sara,maɡoto,boŋi,korisa,namare,noisa,vape,,,mo,,kopona,ie,nana,,mo ɡharusuna,[na] vai,na,no,nna,ɡhata,ɡham,nari,sua,see,,kota,,,vaia vasi,ɡhinava,see,kadaken,toom,dapisa,to|atsi,ɡhinima,bena,bena toom,bena kapisa,visa,manoɡha,,,rausu,kokoreo
Bantik,lima,kuihi,kuaneŋ,tiloʔ,lampaŋ,daleŋ,mahi,sea,moyou,suledo,sibukuʔ,pisi,likuduʔ,tiaŋ,duhi,tinay,atey,susu,bambaŋ,tiho,mamikihi,[ma]takuʔ,daha,timbonaŋ,eheʔ,utaʔ,iduŋ,sindaʔ,baw,mohoŋ,isi,dila,leɡey,kahaʔ,suka,udu,kaŋ,sapa,hiŋaʔ,inuŋ,kiki,sendoʔ,tiŋkahia,diŋihiʔ,mata,seley,kotabaʔ,tiki,ʟrumoka,onow,hompoŋ,teŋedeʔ,toumata,mahuaney,babinei,anaʔ,[i]aŋkuŋ,[i]aŋkuŋ,[i]maʔ,[i]amaʔ,balrei,atuʔ,adeŋ,uli,tali,ikiʔ,dahuŋ,dadahuŋ,anuʔ,lutaŋ,sodokoʔ,mahumpaɡa,tekosoʔ,buno,natey,ma'nulrai,kukuduʔ,kotohoʔ,kayu,baka,hodow,tiŋkopeʔ,pambele,suaŋ,pile,mapahosou,babaha,paha,beleŋ,kali,luaŋ,bika,manutu,pahadaʔ,nabo,kapuna,manuʔ,natuʔ,bumbulu,kalipiʔ,talaʔ,tikusuʔ,leosoʔ,lroŋo,papantey,uleʔ,loloati,kutu,tiniʔ,kahimboboʔ,kinasaʔ,bahiʔ,paŋat,dauŋ,hamuʔ,buŋa|ŋ,bua,dukuʔ,tana,batu,labaney,ake,mihihiʔ,tasiʔ,asiŋ,louhuʔ,kakayuaŋ,laŋiʔ,bulaŋ,malampitey,binaba,hibuʔ,tahiti,duluʔ,kilaʔ,pipihiʔ,saŋo,ihaʔ,d|al|indiŋ,mada,labu,bahaʔ,putuŋ,tutuŋ,tipu,ahi,ituŋ,bida,hendeŋ,didihiʔ,bidu nu ʟranɡi,kokonioʔ,baɡay,pedekeʔ,naiʔ,nipisiʔ,kapala,seseʔ,lampadaʔ,mapidisisi,maidanɡ,ɡudaŋ,buhu,pia,dalaiʔ,taŋadaʔ,hibi,low,taoŋ,kaŋ|edeŋ,buni,abiʔ,su,su huaŋ,su timbow,su aluŋ,ie,eʔe,lapaʔ,daw,sunte,iaʔ,ikaw,[i]sie,kite,kumu,side,apa,[i]say,baline,maya,bo,ada,kakuda,taya,tiaʔ,insauʔ,dadua,tatulu,paʔ,(lr)ima,nunɡ,pitu,wa(lr)u,siouw,mapulro,ðua mpulro,ʟrima mpulro,mahatusu,ma'hibu
Gayo,pumu,kiri,kuwən,kidiŋ,muralan,də ne,deh,kisər,munawe,kɔtek,wu,kulit,kuduk,tukə,tulən,tətukə,ate,susu,kərlaŋ,bətih,bəpikir,tərih,rayɔh,ulu,rɔŋɔk,uk,iuŋ,bəkəsah,munyum,awah,ipɔn,delah,kədik,mɔŋɔt,pəlɔah,munilih,maŋan,muŋənal,mujəraŋ,minum,muŋet,munyiluk,kəmiriŋ,muməŋe,mata,muneŋɔn,map,nome,malaŋ,munipi,kunul,səsuk,jəma,rawan,banan,anak,bəi,banan,inə,ama,umah,supu,ɡəral,muliŋ,tali,munikɔt,mujit,jarum,muŋaro,munimak,munənik,mudərə,munusuh,mununuh,matɪ,murip,muɡarut,muŋərat,kayu,mubəlah,təjəm,tumpul,bəbuət,munyuən,mumilih,murip,mubəŋkak,mumərah,munamat,muŋuruk,mubəli,munukə,munutu,muɡəraluŋən,mutuh,asu,manuk,tenaruh,jaŋut,kəpek,terbaŋ,tikus,usi,ləmak,uki,lipe,ketɔl,kutu,ləmis,lɔlawah,ikən,buruk,cabaŋ,uluŋ,uyɔt,buŋə,uah-uahən,kərpe,tanɔh,atu,pasir,wəih,mujaril,lut kɔlak,pɔa,lut kucak,utən,laŋit,ulən,bintaŋ,mun,kədut,urən,ɡəɡur,kilət,kuyu,bərəmus,pɔrak,bəŋi,kəriŋ,basah,bərat,rara,munyiut,asap,wau,itəm,putih,ilaŋ,kuniŋ,ijo,kucak,kul,kɔnɔt,naru,nipis,təbəl,pedet,kɔlak,sakit,kəmel,tuə,ayu,jərɔh,jahat,bənar,klam,lo,tun,səlɔ,təmuni,nik,i,[i] wan,i atas,i tuyuh,ini,ɔya,dəkat,ɡip,i si,aku,kɔ,we,kitə,kam bewenne,pakea,sana,sa,len,ben,urum,i|kə,kunə,ɡərə,munetɔŋ,sara,rɔa,tulu,ɔpat,lime,,,,,,,,,
Gedaged,niman,ŋas,waŋ,nien,la,dal,so,bozozoani,loɡ,ɡanain,ɡufuɡaf,siliŋoɲ,mesapen,kazoi,doɡ,taen,buben,su:,yazon,loŋ,kankan,fufu,dazan,ɡaten,biziwon,zaun,win,yaeŋ,,awan,liwon,balen,di,ta,lu,yasu,[y]ani,mam,nai,mili,yaz|e,musi,tiliŋan,loŋ,malan,nasi,,doz,[y]en,,matal,tiuz,tamol,tamol,pain,ai,iwon,badam,nen,mam,ab,pit,nean,bol,mol,pau,ziki,siwali,bezani,pan|e,belai,tebali,,[su]fun|i,mat,bas,kekaz|e,ɡuɡuzi,ya,fale,malan,bok,uzat,pae,piliani,tub,didi,bule,butuni,saze,poali,fue,funi,,bal,ɡaun,ma,ma patun,fufulun,banin,zou,ɡabelau,mudan,numuzan,win,mot,ɡuɡui,ut,na,kuk,iy[e],mau,daɡent,zun,dabin,moz,patun,,tan,pat,abuz,naz,yau,mas,sif,wililuk,ɡazaŋ,did,fulei,patui,tim|taen,buɡ,ui,wail,lelei,tim,faze,wonanan,madid,dadaɡ,sipin,muzuan,ya,tun|i,ya|kas,taen,[mu]mum,kebazan,dazan,yaŋ,bas,kamo,muten,tituk,melaen,zezaun,metalun,siɡisoɡ,bebaŋan,yaŋayaŋ,mamai,tibun,faun,ɡauai,alan,malik,bo,ad,umaz,saŋeptap,kukum,dusa,-lak,ilo-n,fon,paen,e,me,sisiz,makaiu,domten,ŋa,o,i,id,aŋ,i,abaŋ,itai,iben,daŋan,ma|i,,dodin,so,suti,tai,a|zu,tol,pal,,,,,,,,,,
Geser,ma,kubalit,kuanen,ke,taŋɡi,lalano,ratan,futar,naŋu,ɡalotak,ubas,likit,kotan,toa,ruri,utuk,at,susu,wakir,ruk,hiʔir,matakut,rara,lu,totolan,uk,so,fai ŋak,fimusi,lo,ŋisik,kel,malif,taŋis,luak,ɡinisuk,ŋɡa faŋa,mama,masak,inu,karat,bus,tiliŋa,roŋan,mata,mekan,maflaba,kifit,bula-bula,manifi,matoran,mariri,mant͡ʃia,urana,wawina,anak,rana,wawina,n|ina,baba,ruma,barem,ŋasan,kuk,tali,wokas,fi|rait,lalan,leus,fanak,tewat,sakur,fakaleus,tara,mata,liu,fikori,lait,kai,tola,matarih,baba,,tauk,filik,,bulu,siŋɡatan,dahan,kayk,fas,salik,tutu,fola,ŋɡek,kafuna,manuk,tolu,wiliu,waki,tiu,kalufa,sisia,wodal,kaku,tekis,ena kutu,kutu,umis,ɡafas,ikan,ŋɡofak,saŋ,ru,akar,fus,woi,imak,ena,watu,ena,ar,tauk,tasik,,louk,imak,laŋit,ulan,fituin,aŋin tai,sawan,uran,dudun,tinitik,aŋin,utun,mfanas,rifi,kiri|mas,kiribotan,maleman,afi,tumu,kubuŋ,au tai,metan,futi,mera,kuniŋ,biri,tutuin,bobak,kubut,malas,banifis,batolu,korok,ɡa|lawa,masinat,,matu:,wouwou,baban,ɡarata,katotu,ɡaran,dodan,ŋarak,doan fis,wunin,saka,bua,bua lomin,ata,wawa,ira,ira,ranik,rau,na-iŋɡi,aku,kau,na,kita,kumu,sidi,la,sei,wown,ababis,tura,,manla,tei,reʔen,sa,roti,tolu,fat,,,,,,,,,,
Ghari,lima-,mauli,mandoa,tua-,vano,sautu,mai,pilo,olo,mbau,papasa,kokora-,ɣotu-,tomba-,suli-,tinae-,ate-,cucu-,,ndona,papanda,mataɣu,ɣambu-,lova-,lio-,vuvulu-na,isu-,maɣomaɣo,siɣinia,maŋa-,livo-,lapi-,kia,ŋaŋai,mumuta,t͡ʃuve,ɣania,,,inu,ɣati,mut͡ʃua,kuli-,roroŋo,mata-,morosia,,maturu,eno,,totu,tu,tinoni,mane,ndaki,mbaka,,,tina-,tama-,vale,tiatia,soa,t͡ʃaria,itai,soria,t͡ʃukia,,ruɣu,,ŋɡoula,lambua,komi,lambua,mate,mamauri,ŋɡaruŋɡaru,kavia,ɣai,tala,vavaŋa,paru,aŋɡo,,,,t͡ʃomo,lusia,taŋolia,t͡ʃaia,,,,,puka,pai,manu,tolu-,ivu-,rapo-,lovo,mboɣu,velesi-,sereɣa-,kali-,muata,,ŋutu,namu,tea,t͡ʃet͡ʃe,mambulu,ara-,rau,lamu-,t͡ʃit͡ʃi,vua-,mburumburu,kao,vatu,one,,tatave,tasi,,,laɣai,masaoka,vula,vetuɣu,parako,lavo,usa,vivisa,aŋaaŋa,ɣuɣuri,pua,papara,mbisi,mamat͡ʃa,pori,mamava,lake,put͡ʃa,puŋu,tora,mbau,sere,t͡ʃit͡ʃi,mila,marao,tetelo,loki,kurikuri,kat͡ʃi,matipi,matolu,,,lomboɣu,,tuŋɡatuŋɡa,vaolu,ndou,seko,ɣoto,mboŋi,ndani,ŋalitupa,ŋisa,,ndato,i,lao-na,,vava-na,iani,,varaŋi,ao,iava,nau,ɣoe,[a]ia,iɣita,iɣamu,iɣira,na ɣua,asei,,,mana,ti,e ɣua,taɣara,t͡ʃoko,k|esa,ruka,tolu,vati,t͡ʃeɣe,ono,vitu,alu,siu,saŋavulu,,,kesa saŋatu,kesa toɣa
Gimán,komu,abalit,awoyan,we,han,lolan,wom,waik,koai,lila,yipyap,kulit,bayau,tutu,moma,ɡale-ɡale,yocu,susu,paposu,unak,bafikir,kiwak,ɡit,poi,koku,kikle,usnu,manou,fotan,sumu,afo,mimou,mlif,tanɡis,awa,badidif,fon,cakum,ɡo,imin,pakat,pis,tinɡe,lonɡa,mto,am,nɡanɡa,melas,mtuli,bibuf,bol,wosal,manusia,maon,mapin,tu,laɡai,kawan,mamu,bapa,um,yotaf,fsona,binɡ,kapiloan,soat,badidinɡ,laim,hanɡkik yo,tablu,tapa,bolam,masulak,pun,mot,fifia,aɡaɡ,tipal,tokun,saɡal,maɡamin,kapudunɡ,hamanitap,tonam,,tub,poan,ofal,ɡotal,olai,tua,ayolu,tut,abilat,mtat,yo,manik,toli,lonɡku-lonɡku,faku,opa,luf,wontu,ɡaji,walu,bau,ɡalet,kut,ninik,karanɡanɡa,ian,lekat,kakolu,lonɡku,wolu,sai,bobu,bibisa,ɡiɡyat,lai,minyana,waya,ɡasi,wolat,ɡasi,talaɡa,dom,lanɡit,pait,batol,malukut,mayas,ulan,plakat,bebit,moda,ufu,psan,makufin,ɡamos,baloam,batona,lutan,slai,nyas,tapin,kidkuda,bulanɡ,malaka,madimal,biru,wai,loal,ɡapopai,mlonɡa,manifis,kamudi,nakota,loas,bitan,moi,tua,pou,fia,lekat,hatu,bakomu,balantu,taun,hafisak,bakapok,sapak,li,li,payau,poli,tajini,tajia,dekin,lou,palo,yak,au,i,kit,meu,si,pui,mei,maleu,hadumik,de,coba,hapui,tes,hayofan,pso,plu,ptol,pfot,,,,,,,,,,
