ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
36	3_star	None	PangKham	Pangkham	plaːŋ	plaːŋ	p l aː ŋ		1430	22.672097	97.161167	
37	3_star	None	ManLoi	Man Loi	plaːŋ	plaːŋ	p l aː ŋ		1430	22.636019	97.139264	
38	3_star	None	MengDan	Meng Dan	kəman	kəman	k ə m a n	khan1274	1430	24.296522	98.379886	
39	3_star	None	ChuDongGua	Chu Dong Gua	səmaɲ	səmaɲ	s ə m a ɲ		1430	24.330889	98.393125	
40	3_star	None	XiangZhaiTang	Xiang Zhai Tang	samɛɲ	samɛɲ	s a m ɛ ɲ	ruma1248	1430	24.323819	98.556639	
41	3_star	None	PongNuea	Pong Nuea	samaɲ	samaɲ	s a m a ɲ		1430	20.321525	99.866817	
42	3_star	None	NyaungGone	Nyaung Gone	samăn	samăn	s a m ă n		1430	20.635025	96.545772	
43	3_star	None	NoeLae	Noe Lae	samăɲ	samăɲ	s a m ă ɲ		1430	19.941803	99.044742	
44	3_star	None	BanPaw	Ban Paw	samăn	samăn	s a m ă n		1430	21.311225	99.557550	
45	3_star	None	ChaYeQing	Cha Ye Qing	khaman	khaman	kʰ a m a n		1430	24.305717	98.463661	
46	3_star	None	GuangKa	Guang Ka	laːw	laːw	l aː w	ruma1248	1430	24.065714	97.796281	
47	3_star	None	MangBang	Mang Bang	laːw	laːw	l aː w	ruma1248	1430	24.416392	98.399078	
48	3_star	None	NanSang	Nan Sang	laːw	laːw	l aː w	ruma1248	1430	24.019728	97.819736	
49	4_cloud	None	NamHsan	Namhsan	Ɂuːt	Ɂuːt	ʔ uː t		1489	22.965064	97.163239	
50	4_cloud	None	KhunHawt	Khun Hawt	Ɂuːt	Ɂuːt	ʔ uː t		1489	22.965064	97.163239	
51	4_cloud	None	HtanHsan	Htan Hsan	ɁuːɁ	ɁuːɁ	ʔ uː ʔ		1489	22.675133	97.289942	
52	4_cloud	None	PangKham	Pangkham	ɁaɁuːt	ɁaɁuːt	ʔ a ʔ uː t		1489	22.672097	97.161167	
53	4_cloud	None	ManLoi	Man Loi	ɁaɁut	ɁaɁut	ʔ a ʔ u t		1489	22.636019	97.139264	
54	4_cloud	None	MengDan	Meng Dan	ʔuːt	ʔuːt	ʔ uː t	khan1274	1489	24.296522	98.379886	
55	4_cloud	None	ChuDongGua	Chu Dong Gua	kɨʔuːt	kɨʔuːt	k ɨ ʔ uː t		1489	24.330889	98.393125	
56	4_cloud	None	XiangZhaiTang	Xiang Zhai Tang	ŋɁuɁ	ŋɁuɁ	ŋ ʔ u ʔ	ruma1248	1489	24.323819	98.556639	
57	4_cloud	None	PongNuea	Pong Nuea	ŋɁuɁ	ŋɁuɁ	ŋ ʔ u ʔ		1489	20.321525	99.866817	
58	4_cloud	None	NyaungGone	Nyaung Gone	ŋ ʔuʔ	ŋ ʔuʔ	ŋ + ʔ u ʔ		1489	20.635025	96.545772	
59	4_cloud	None	NoeLae	Noe Lae	ŋ Ɂu	ŋ Ɂu	ŋ + ʔ u		1489	19.941803	99.044742	
